"userid","outlet_type","brand_name","business_category","date"
10796,"online","foodpanda","Food & Restaurants","2023-07-22"
12170,"online","foodpanda","Food & Restaurants","2023-07-20"
17920,"online","foodpanda","Food & Restaurants","2023-07-10"
19304,"online","Daraz","Market Place","2023-06-24"
278769,"online","Krave Mart","Stores & Grocery","2023-05-09"
278769,"online","Krave Mart","Stores & Grocery","2023-07-11"
278769,"online","Krave Mart","Stores & Grocery","2023-07-15"
384674,"online","Karachi Fried House","Food & Restaurants","2023-06-08"
384674,"online","Karachi Fried House","Food & Restaurants","2023-06-17"
427915,"online","Krave Mart","Stores & Grocery","2023-06-21"
427915,"online","foodpanda","Food & Restaurants","2023-06-17"
427915,"online","foodpanda","Food & Restaurants","2023-06-22"
427915,"online","foodpanda","Food & Restaurants","2023-06-29"
429630,"online","foodpanda","Food & Restaurants","2023-06-24"
431397,"online","Krave Mart","Stores & Grocery","2023-06-16"
431397,"online","Krave Mart","Stores & Grocery","2023-07-05"
431397,"online","Pizza Max","Food & Restaurants","2023-06-17"
431397,"online","foodpanda","Food & Restaurants","2023-06-30"
437577,"online","foodpanda","Food & Restaurants","2023-07-09"
437577,"online","foodpanda","Food & Restaurants","2023-07-14"
442697,"online","Daraz","Market Place","2023-05-27"
442768,"instore","Dvago","Health & Fitness","2023-07-22"
442768,"online","Bin Hashim","Stores & Grocery","2023-07-03"
442768,"online","Daraz","Market Place","2023-07-09"
442768,"online","Daraz","Market Place","2023-07-10"
442768,"online","Daraz","Market Place","2023-07-18"
442768,"online","Krave Mart","Stores & Grocery","2023-07-16"
442768,"online","Saeed Ghani","Health, Beauty & Gifts","2023-06-29"
444056,"online","foodpanda","Food & Restaurants","2023-07-23"
529440,"online","Daraz","Market Place","2023-07-01"
553235,"online","Daraz","Market Place","2023-07-01"
553235,"online","Daraz","Market Place","2023-07-02"
622412,"online","SAYA","Fashion","2023-07-12"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-06-08"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-06-10"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-06-24"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-06-25"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-02"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-03"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-05"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-08"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-10"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-11"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-12"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-13"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-17"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-18"
659881,"online","Metro Cash & Carry","Stores & Grocery","2023-07-26"
